dataset,model,iteration,rmse
IEEEPPG,InceptionTime,3,24.56549835205078
IEEEPPG,ResNet,4,34.267120361328125
IEEEPPG,FCN,4,69.93284606933594
IEEEPPG,InceptionTime,4,25.3687744140625
IEEEPPG,ResNet,5,49.280765533447266
IEEEPPG,FCN,5,53.60088348388672
IEEEPPG,InceptionTime,5,34.074729919433594
PPGDalia,ResNet,1,1.5867451429367065
PPGDalia,FCN,1,1.5867451429367065
PPGDalia,InceptionTime,1,1.9910550117492676
PPGDalia,ResNet,2,2.5554707050323486
PPGDalia,FCN,2,2.5554707050323486
PPGDalia,InceptionTime,2,1.1722123622894287
PPGDalia,ResNet,3,1.4979904890060425
PPGDalia,FCN,3,1.4979904890060425
PPGDalia,InceptionTime,3,1.39391028881073
PPGDalia,ResNet,4,1.3361634016036987
PPGDalia,FCN,4,1.3361634016036987
PPGDalia,InceptionTime,4,1.8549704551696777
PPGDalia,ResNet,5,1.1010379791259766
PPGDalia,FCN,5,1.1010379791259766
PPGDalia,InceptionTime,5,1.7107840776443481
